=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:17 | Chunk #61    | Streamed: 60.5 KB | loss      : 0.094681 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0011  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #62    | Streamed: 61.5 KB | loss      : 0.135910 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #63    | Streamed: 62.5 KB | loss      : 0.091517 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0016  observed 0.0016  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #64    | Streamed: 63.5 KB | loss      : 0.029120 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #65    | Streamed: 64.5 KB | loss      : 0.090708 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #66    | Streamed: 65.5 KB | loss      : 0.036463 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #67    | Streamed: 66.5 KB | loss      : 0.075502 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #68    | Streamed: 67.5 KB | loss      : 0.176636 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0025  observed 0.0025  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #69    | Streamed: 68.5 KB | loss      : 0.113076 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0017  observed 0.0017  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:17 | Chunk #70    | Streamed: 69.5 KB | loss      : 0.051105 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
